,duration_ms,key,loudness,tempo,acousticness,danceability,instrumentalness,liveness,mode,speechiness,valence,target
0,-0.5088511426185784,-0.9164464172056941,-0.4545303594352181,1.066709448967499,0.0102,0.833,0.0219,0.165,1,0.431,0.286,1
1,0.9837156897929885,-1.1906191290870178,-0.8815726486962077,1.4423234002270027,0.199,0.743,0.00611,0.137,1,0.0794,0.588,1
2,-0.7393618401797577,-0.9164464172056941,-0.016585994296457216,-1.7451663514102562,0.0344,0.838,0.000234,0.159,1,0.289,0.173,1
3,-0.5721369621416736,-0.0939282815617228,-2.167219889404106,-1.3169641980135316,0.604,0.494,0.51,0.0922,1,0.0261,0.23,1
4,1.7884838902447633,-0.0939282815617228,-1.2131552979542737,1.9641198093162706,0.18,0.678,0.512,0.439,0,0.0694,0.904,1
5,0.06133127569119699,0.7285898540822485,0.10732540470455203,-1.3711266727735343,0.00479,0.804,0.0,0.164,1,0.185,0.264,1
6,-0.05985978760606617,-1.1906191290870178,-1.0950937933267026,-1.558277701477127,0.0145,0.739,7.27e-06,0.207,1,0.156,0.308,1
7,1.2610898600335987,1.2769352778448961,-1.202785030655906,0.8452617666961533,0.0202,0.266,0.664,0.16,0,0.0371,0.393,1
8,-0.5301660311296345,1.5511079897262199,0.9199289140330603,0.3160437866709124,0.0481,0.603,0.0,0.342,0,0.347,0.398,1
9,-0.23750419328492972,0.4544171422009248,-0.18782835686437588,-0.8099734481147141,0.00208,0.836,0.0,0.571,1,0.237,0.386,1
10,1.365041119400626,-0.0939282815617228,-0.07614855518964635,-0.36179302548125547,0.0572,0.525,0.0143,0.649,0,0.0548,0.524,1
11,0.9586673405581873,1.2769352778448961,-0.4079971087374139,-0.6477484026051705,0.0915,0.753,0.00348,0.212,1,0.0494,0.642,1
12,1.3502292850260285,-1.4647918409683416,-1.0573353841890556,0.22780955443212658,0.253,0.603,0.0619,0.108,1,0.0342,0.381,1
13,-0.037044194294289054,-1.4647918409683416,-1.4891639506646768,0.31499427158905796,0.366,0.762,0.0,0.103,1,0.114,0.367,1
14,0.011978829195935795,1.0027625659635724,-0.3274281089577879,0.12773079484098032,0.44,0.662,0.0,0.0972,0,0.0793,0.351,1
15,-0.7073224027269626,0.18024443031960097,0.11929109774113042,-0.8101983442036829,0.019,0.637,0.0563,0.316,1,0.163,0.317,1
